"","ID","Cluster","Genus","Category"
"1","MAG_C1.1_5","73_1","g__","1"
"2","MAG_C1.2_11","73_1","g__","1"
"3","MAG_C1.3_13","73_1","g__","1"
"4","MAG_C1.4_7","73_1","g__","1"
"5","MAG_C1.5_4","73_1","g__","1"
"6","MAG_C2.1_17","73_1","g__","1"
"7","MAG_C2.2_6","73_1","g__","1"
"8","MAG_C2.3_14","73_1","g__","1"
"9","MAG_C2.4_2","73_1","g__","1"
"10","MAG_C2.5_11","73_1","g__","1"
"11","MAG_C3.1_12","73_1","g__","1"
"12","MAG_C3.2_5","73_1","g__","1"
"13","MAG_C3.3_10","73_1","g__","1"
"14","MAG_C3.4_25","73_1","g__","1"
"15","MAG_C3.5_9","73_1","g__","1"
"16","MAG_D1.1_14","173_1","g__","2"
"17","MAG_D1.3_35","113_1","g__","3"
"18","MAG_D1.4_22","72_1","g__","4"
"19","MAG_D1.4_5","113_1","g__","3"
"20","MAG_D2.2_2","113_1","g__","3"
"21","MAG_D2.2_3","172_1","g__","5"
"22","MAG_D2.3_19","172_1","g__","5"
"23","MAG_D2.3_21","113_1","g__","3"
"24","MAG_D3.1_11","171_1","g__","6"
"25","MAG_D3.3_3","172_1","g__","5"
"26","MAG_D3.4_18","72_1","g__","4"
"27","MAG_D3.4_22","172_1","g__","5"
"28","MAG_D3.5_10","172_1","g__","5"
"29","MAG_C1.1_12","107_1","g__Apibacter","1"
"30","MAG_C1.2_9","107_1","g__Apibacter","1"
"31","MAG_C1.4_5","107_1","g__Apibacter","1"
"32","MAG_C1.5_15","107_1","g__Apibacter","1"
"33","MAG_C2.1_9","107_1","g__Apibacter","1"
"34","MAG_C2.2_9","107_1","g__Apibacter","1"
"35","MAG_C2.3_12","107_1","g__Apibacter","1"
"36","MAG_C2.4_14","107_1","g__Apibacter","1"
"37","MAG_C2.5_17","107_1","g__Apibacter","1"
"38","MAG_C3.1_6","107_1","g__Apibacter","1"
"39","MAG_C3.2_15","107_1","g__Apibacter","1"
"40","MAG_C3.3_13","107_1","g__Apibacter","1"
"41","MAG_C3.4_23","107_1","g__Apibacter","1"
"42","MAG_C3.5_8","107_1","g__Apibacter","1"
"43","MAG_D1.1_28","106_1","g__Apibacter","2"
"44","MAG_D1.2_16","106_1","g__Apibacter","2"
"45","MAG_D1.4_19","106_1","g__Apibacter","2"
"46","MAG_D1.5_17","106_1","g__Apibacter","2"
"47","MAG_D2.2_14","106_1","g__Apibacter","2"
"48","MAG_D2.3_2","106_1","g__Apibacter","2"
"49","MAG_D2.5_5","106_1","g__Apibacter","2"
"50","MAG_D3.1_23","106_1","g__Apibacter","2"
"51","MAG_D3.2_25","106_1","g__Apibacter","2"
"52","MAG_D3.3_2","106_1","g__Apibacter","2"
"53","MAG_D3.4_30","106_1","g__Apibacter","2"
"54","MAG_D1.2_17","131_1","g__Apilactobacillus","1"
"55","MAG_D1.5_21","131_1","g__Apilactobacillus","1"
"56","MAG_C1.1_7","92_1","g__Bartonella","1"
"57","MAG_C1.4_17","92_1","g__Bartonella","1"
"58","MAG_C1.5_12","96_0","g__Bartonella","2"
"59","MAG_C1.5_8","92_1","g__Bartonella","1"
"60","MAG_C2.5_19","92_1","g__Bartonella","1"
"61","MAG_D1.1_16","93_1","g__Bartonella","3"
"62","MAG_D1.2_19","116_1","g__Bartonella","4"
"63","MAG_D1.3_13","93_1","g__Bartonella","3"
"64","MAG_D1.4_10","116_1","g__Bartonella","4"
"65","MAG_D1.4_17","94_1","g__Bartonella","5"
"66","MAG_D1.4_31","94_2","g__Bartonella","6"
"67","MAG_D1.5_14","93_1","g__Bartonella","3"
"68","MAG_D1.5_33","94_1","g__Bartonella","5"
"69","MAG_D1.5_8","116_1","g__Bartonella","4"
"70","MAG_D2.1_21","94_1","g__Bartonella","5"
"71","MAG_D2.3_12","93_1","g__Bartonella","3"
"72","MAG_F1.3_11","92_1","g__Bartonella","1"
"73","MAG_F2.2_3","92_1","g__Bartonella","1"
"74","MAG_M1.1_13","92_1","g__Bartonella","1"
"75","MAG_C1.1_13","14_4","g__Bifidobacterium","1"
"76","MAG_C1.2_13","14_1","g__Bifidobacterium","2"
"77","MAG_C1.3_14","17_1","g__Bifidobacterium","3"
"78","MAG_C1.4_10","14_1","g__Bifidobacterium","2"
"79","MAG_C1.5_6","14_4","g__Bifidobacterium","1"
"80","MAG_C2.1_18","22_1","g__Bifidobacterium","4"
"81","MAG_C2.2_7","14_1","g__Bifidobacterium","2"
"82","MAG_C2.4_10","14_3","g__Bifidobacterium","5"
"83","MAG_C2.5_13","22_1","g__Bifidobacterium","4"
"84","MAG_C3.1_2","14_3","g__Bifidobacterium","5"
"85","MAG_C3.1_4","22_1","g__Bifidobacterium","4"
"86","MAG_C3.2_14","22_1","g__Bifidobacterium","4"
"87","MAG_C3.2_7","14_3","g__Bifidobacterium","5"
"88","MAG_C3.3_16","22_1","g__Bifidobacterium","4"
"89","MAG_C3.3_9","14_4","g__Bifidobacterium","1"
"90","MAG_C3.5_1","14_3","g__Bifidobacterium","5"
"91","MAG_D1.1_18","22_2","g__Bifidobacterium","6"
"92","MAG_D1.1_20","20_1","g__Bifidobacterium","7"
"93","MAG_D1.2_24","22_2","g__Bifidobacterium","6"
"94","MAG_D1.2_26","6_1","g__Bifidobacterium","8"
"95","MAG_D1.2_40","20_1","g__Bifidobacterium","7"
"96","MAG_D1.3_16","22_2","g__Bifidobacterium","6"
"97","MAG_D1.3_22","6_1","g__Bifidobacterium","8"
"98","MAG_D1.3_33","20_1","g__Bifidobacterium","7"
"99","MAG_D1.4_1","6_1","g__Bifidobacterium","8"
"100","MAG_D1.4_13","20_1","g__Bifidobacterium","7"
"101","MAG_D1.4_26","22_2","g__Bifidobacterium","6"
"102","MAG_D1.5_10","20_1","g__Bifidobacterium","7"
"103","MAG_D1.5_19","6_1","g__Bifidobacterium","8"
"104","MAG_D1.5_9","22_2","g__Bifidobacterium","6"
"105","MAG_D2.1_11","22_2","g__Bifidobacterium","6"
"106","MAG_D2.1_14","6_1","g__Bifidobacterium","8"
"107","MAG_D2.1_18","20_1","g__Bifidobacterium","7"
"108","MAG_D2.2_10","6_1","g__Bifidobacterium","8"
"109","MAG_D2.3_6","20_1","g__Bifidobacterium","7"
"110","MAG_D2.5_12","6_1","g__Bifidobacterium","8"
"111","MAG_D2.5_14","20_1","g__Bifidobacterium","7"
"112","MAG_D2.5_3","22_2","g__Bifidobacterium","6"
"113","MAG_D3.2_24","22_2","g__Bifidobacterium","6"
"114","MAG_D3.2_5","20_1","g__Bifidobacterium","7"
"115","MAG_D3.3_10","22_2","g__Bifidobacterium","6"
"116","MAG_D3.3_4","20_1","g__Bifidobacterium","7"
"117","MAG_D3.4_11","6_1","g__Bifidobacterium","8"
"118","MAG_D3.4_14","20_1","g__Bifidobacterium","7"
"119","MAG_D3.4_27","22_2","g__Bifidobacterium","6"
"120","MAG_D3.5_1","22_2","g__Bifidobacterium","6"
"121","MAG_F1.1_5","14_2","g__Bifidobacterium","9"
"122","MAG_F1.2_3","14_2","g__Bifidobacterium","9"
"123","MAG_F1.3_10","14_2","g__Bifidobacterium","9"
"124","MAG_F1.4_2","14_2","g__Bifidobacterium","9"
"125","MAG_F1.5_5","14_2","g__Bifidobacterium","9"
"126","MAG_F2.1_1","14_2","g__Bifidobacterium","9"
"127","MAG_F2.2_7","14_2","g__Bifidobacterium","9"
"128","MAG_F2.3_3","14_2","g__Bifidobacterium","9"
"129","MAG_F3.5_3","20_1","g__Bifidobacterium","7"
"130","MAG_F3.5_4","14_2","g__Bifidobacterium","9"
"131","MAG_M1.4_24","16_2","g__Bifidobacterium","10"
"132","MAG_D3.2_11","87_1","g__Bombella","1"
"133","MAG_F1.5_4","88_0","g__Bombella","2"
"134","MAG_F2.2_10","87_1","g__Bombella","1"
"135","MAG_C1.2_12","33_1","g__Bombilactobacillus","1"
"136","MAG_C1.2_16","69_1","g__Bombilactobacillus","2"
"137","MAG_C1.4_1","69_1","g__Bombilactobacillus","2"
"138","MAG_C1.5_2","69_1","g__Bombilactobacillus","2"
"139","MAG_C2.1_1","33_1","g__Bombilactobacillus","1"
"140","MAG_C2.2_3","33_1","g__Bombilactobacillus","1"
"141","MAG_C2.2_5","69_1","g__Bombilactobacillus","2"
"142","MAG_C2.3_10","69_1","g__Bombilactobacillus","2"
"143","MAG_C2.3_9","33_1","g__Bombilactobacillus","1"
"144","MAG_C2.4_16","69_1","g__Bombilactobacillus","2"
"145","MAG_C2.5_20","69_1","g__Bombilactobacillus","2"
"146","MAG_C3.4_20","69_1","g__Bombilactobacillus","2"
"147","MAG_C3.4_30","33_1","g__Bombilactobacillus","1"
"148","MAG_D1.1_27","70_1","g__Bombilactobacillus","3"
"149","MAG_D3.4_13","33_1","g__Bombilactobacillus","1"
"150","MAG_D3.4_31","71_1","g__Bombilactobacillus","4"
"151","MAG_F1.2_1","69_1","g__Bombilactobacillus","2"
"152","MAG_F1.2_4","33_1","g__Bombilactobacillus","1"
"153","MAG_F1.3_4","69_1","g__Bombilactobacillus","2"
"154","MAG_F1.3_8","33_1","g__Bombilactobacillus","1"
"155","MAG_F1.4_3","69_1","g__Bombilactobacillus","2"
"156","MAG_F2.1_2","33_1","g__Bombilactobacillus","1"
"157","MAG_F2.1_3","69_1","g__Bombilactobacillus","2"
"158","MAG_F2.2_8","69_1","g__Bombilactobacillus","2"
"159","MAG_F2.3_1","69_1","g__Bombilactobacillus","2"
"160","MAG_F2.3_5","33_1","g__Bombilactobacillus","1"
"161","MAG_F2.4_2","69_1","g__Bombilactobacillus","2"
"162","MAG_F3.2_3","69_1","g__Bombilactobacillus","2"
"163","MAG_F3.4_4","69_1","g__Bombilactobacillus","2"
"164","MAG_M1.1_17","69_1","g__Bombilactobacillus","2"
"165","MAG_M1.1_6","33_1","g__Bombilactobacillus","1"
"166","MAG_M1.2_15","33_1","g__Bombilactobacillus","1"
"167","MAG_M1.2_18","69_1","g__Bombilactobacillus","2"
"168","MAG_M1.3_10","69_1","g__Bombilactobacillus","2"
"169","MAG_M1.3_5","33_1","g__Bombilactobacillus","1"
"170","MAG_M1.4_6","33_1","g__Bombilactobacillus","1"
"171","MAG_M1.4_8","69_1","g__Bombilactobacillus","2"
"172","MAG_M1.5_3","69_1","g__Bombilactobacillus","2"
"173","MAG_M1.5_8","33_1","g__Bombilactobacillus","1"
"174","MAG_D1.2_29","85_1","g__Commensalibacter","1"
"175","MAG_D1.3_10","85_1","g__Commensalibacter","1"
"176","MAG_D1.4_20","85_1","g__Commensalibacter","1"
"177","MAG_D1.5_44","85_1","g__Commensalibacter","1"
"178","MAG_D3.1_19","85_1","g__Commensalibacter","1"
"179","MAG_D3.2_13","85_1","g__Commensalibacter","1"
"180","MAG_D3.4_16","85_1","g__Commensalibacter","1"
"181","MAG_D3.5_7","85_1","g__Commensalibacter","1"
"182","MAG_M1.1_2","84_1","g__Commensalibacter","2"
"183","MAG_M1.2_11","84_1","g__Commensalibacter","2"
"184","MAG_M1.3_6","84_1","g__Commensalibacter","2"
"185","MAG_M1.4_16","84_1","g__Commensalibacter","2"
"186","MAG_M1.5_12","84_1","g__Commensalibacter","2"
"187","MAG_C1.2_10","79_1","g__Dysgonomonas","1"
"188","MAG_C1.4_18","79_1","g__Dysgonomonas","1"
"189","MAG_C1.5_19","79_1","g__Dysgonomonas","1"
"190","MAG_C2.1_16","79_1","g__Dysgonomonas","1"
"191","MAG_C2.5_14","79_1","g__Dysgonomonas","1"
"192","MAG_C3.5_3","79_1","g__Dysgonomonas","1"
"193","MAG_D1.1_23","83_1","g__Dysgonomonas","2"
"194","MAG_D1.1_8","77_1","g__Dysgonomonas","3"
"195","MAG_D1.1_9","80_1","g__Dysgonomonas","4"
"196","MAG_D1.2_2","77_1","g__Dysgonomonas","3"
"197","MAG_D1.2_21","81_1","g__Dysgonomonas","5"
"198","MAG_D1.2_25","83_1","g__Dysgonomonas","2"
"199","MAG_D1.2_5","80_1","g__Dysgonomonas","4"
"200","MAG_D1.3_29","83_1","g__Dysgonomonas","2"
"201","MAG_D1.3_9","80_1","g__Dysgonomonas","4"
"202","MAG_D1.4_23","81_1","g__Dysgonomonas","5"
"203","MAG_D1.4_24","80_1","g__Dysgonomonas","4"
"204","MAG_D1.4_35","83_1","g__Dysgonomonas","2"
"205","MAG_D1.5_1","80_1","g__Dysgonomonas","4"
"206","MAG_D1.5_29","83_1","g__Dysgonomonas","2"
"207","MAG_D1.5_45","82_1","g__Dysgonomonas","6"
"208","MAG_D1.5_46","77_1","g__Dysgonomonas","3"
"209","MAG_D2.2_12","80_1","g__Dysgonomonas","4"
"210","MAG_D2.2_16","83_1","g__Dysgonomonas","2"
"211","MAG_D2.2_5","82_1","g__Dysgonomonas","6"
"212","MAG_D2.3_15","77_1","g__Dysgonomonas","3"
"213","MAG_D2.3_16","83_1","g__Dysgonomonas","2"
"214","MAG_D2.3_29","80_1","g__Dysgonomonas","4"
"215","MAG_D2.3_4","82_1","g__Dysgonomonas","6"
"216","MAG_D2.5_11","82_1","g__Dysgonomonas","6"
"217","MAG_D2.5_18","77_1","g__Dysgonomonas","3"
"218","MAG_D2.5_26","83_1","g__Dysgonomonas","2"
"219","MAG_D3.1_12","83_1","g__Dysgonomonas","2"
"220","MAG_D3.1_15","77_1","g__Dysgonomonas","3"
"221","MAG_D3.1_5","80_1","g__Dysgonomonas","4"
"222","MAG_D3.2_1","77_1","g__Dysgonomonas","3"
"223","MAG_D3.2_3","81_1","g__Dysgonomonas","5"
"224","MAG_D3.3_1","83_1","g__Dysgonomonas","2"
"225","MAG_D3.3_8","80_1","g__Dysgonomonas","4"
"226","MAG_D3.4_10","81_1","g__Dysgonomonas","5"
"227","MAG_D3.4_12","77_1","g__Dysgonomonas","3"
"228","MAG_D3.4_25","82_1","g__Dysgonomonas","6"
"229","MAG_D3.4_29","83_1","g__Dysgonomonas","2"
"230","MAG_D3.4_3","80_1","g__Dysgonomonas","4"
"231","MAG_D3.5_6","80_1","g__Dysgonomonas","4"
"232","MAG_D1.3_12","181_0","g__Enterobacter","1"
"233","MAG_D1.2_32","169_1","g__Entomomonas","2"
"234","MAG_D1.3_1","169_1","g__Entomomonas","2"
"235","MAG_D1.4_18","169_1","g__Entomomonas","2"
"236","MAG_D1.5_43","169_1","g__Entomomonas","2"
"237","MAG_D2.2_11","169_1","g__Entomomonas","2"
