ID,Collection_date_d,Collection_date_m,Collection_date_y,SpeciesID,Species,Country,Location_name,Location_latitude,Location_longitude,Location_altitude,Location_type,Sampled_from,Colony_type,Hive_description,Notes_1,Notes_2,Notes_3,Extra_aliquot_location,Sequenced_on,Run_ID,Resequenced_on,Re_run_ID,Label_upon_collection,Colony
AcCh04,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh05,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh06,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh07,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh08,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh09,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
AcCh10,,,,Ac,Apis cerana,Japan,Chiba,,,,,,M,,,,"20180612 Ryo_Miyasaki 40 Japan Illumina 100 PE HiSeq 2500 Vast differences in strain-level diversity in two closely related species of honey bees (2020, CurBiol) Sampling and sequencing done in Japan",,180612,KE_japan_metagenomes,,,,C_Ch
DrY1_F1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_F2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_F3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_F4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_F5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_F6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers, Year 2, Les Droites",Dr_Y1_F
DrY1_N1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_N2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_N3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_N4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_N5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_N6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20151119 Kirsten_Ellegaard 6 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Nurses, Year 1, Les Droites 20160415_OBIWAN225 20160415 Kirsten_Ellegaard 12 GTF Illumina 100 PE HiSeq 2500 Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom) Foragers/Winterbees, Year 1, Les Droites",,151119,WINDU89,,,"Nurses, Year 1, Les Droites",Dr_Y1_N
DrY1_W1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY1_W2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY1_W3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY1_W4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY1_W5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY1_W6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Winterbees, Year 2, Les Droites",Dr_Y1_W
DrY2_F1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_F2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_F3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_F4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_F5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_F6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,"20170310_WINDU179	20170310	Kirsten_Ellegaard	12	GTF	Illumina	100	PE	HiSeq 2500	Genomic diversity landscape of the honey bee gut microbiota (2019, NatCom)	Foragers/Winterbees, Year 2, Les Droites",,20170310,WINDU179,,,"Foragers/Winterbees, Year 2, Les Droites",M_DrY2_F
DrY2_N1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_N2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_N3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_N4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_N5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_N6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20161216_OBIWAN275,,20161216,OBIWAN275,,,"Nurses, Year 2, Les Droites",Dr_Y2_N
DrY2_W1,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
DrY2_W2,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
DrY2_W3,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
DrY2_W4,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
DrY2_W5,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
DrY2_W6,,,,Am,Apis mellifera spp.,Switzerland,Les Droites,,,,,,M,,,,20160415_OBIWAN225,,160415,OBIWAN225,,,"Foragers/Winterbees, Year 2, Les Droites",Dr_Y2_W
GrY2_F1,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_F2,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_F3,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_F4,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_F5,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_F6,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_F
GrY2_N1,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_N2,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_N3,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_N4,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_N5,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_N6,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170426_OBIWAN300,,170426,OBIWAN300,,,"Nurses, Year 2, Grammont",Gr_Y2_N
GrY2_W1,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W
GrY2_W2,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W
GrY2_W3,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W
GrY2_W4,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W
GrY2_W5,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W
GrY2_W6,,,,Am,Apis mellifera spp.,Switzerland,Grammont,,,,,,M,,,,20170428_WINDU191,,170428,WINDU191,,,"Foragers/Winterbees, Year 2, Grammont",Gr_Y2_W